TIME;;;;;;;FILES;;PLANT ID;;;;;;VISITORS (1);;;;;;;;;;;;;;VISITOR BEHAVIOUR (1);;;;;;;;;;;;;;;;;;;;;CONTACT (1);;;
Year;Month;Day;Hour;Min;Sec;##;Video file name;Video record present;Plant Genus;Plant Species;Plant Number;Number of observed flowers (M | F);;Multiplier;Visitor arrival;Exact time of arrival;T.o.A. in video file;Total duration of visit (sec);Exact time of departure;;;T.o.D. in video file;Visitor species;JH/SD IDs;Morphospecies;Insect order ;Sex;;Number of visited flowers (M | F);;Flower number;Resting/walking;Duration (sec);Flying;Duration (sec);Feeding on pollen;Duration (sec);Feeding on nectar ;Duration (sec);Unsuccessful nectardrinking attempts;Duration (sec);Feeding on floral parts;Duration (sec);Smelling' the flower;Duration (sec);Comment (visitor behaviour);Primary Robbing;Secondary robbing;;Contact with anthers;# flowers with anthers contacted;Contact with stigma;# flowers with stigmas contacted
2019;Nov;13;09;36;;;Senpur4_20191113_09_00;1;Senecio;purpureus;4;10;0;;;;#VALUE!;#VALUE!;;;;#VALUE!;;;;#N/A;#N/A;#VALUE!;;;;;;;;;;;;;;;;;;;;;;;;;
2019;Nov;13;09;37;;;Senpur4_20191113_09_00;1;Senecio;purpureus;4;10;0;;;;#VALUE!;#VALUE!;;;;#VALUE!;;;;#N/A;#N/A;#VALUE!;;;;;;;;;;;;;;;;;;;;;;;;;
2019;Nov;13;09;38;;;Senpur4_20191113_09_00;1;Senecio;purpureus;4;10;0;;;;#VALUE!;#VALUE!;;;;#VALUE!;;;;#N/A;#N/A;#VALUE!;;;;;;;;;;;;;;;;;;;;;;;;;
2019;Nov;13;09;39;00 40;;Senpur4_20191113_09_00;1;Senecio;purpureus;4;10;0;;1;09:39:40;39:40;160;09;42;20;42:20;Hoverfly sp.;Anthomyia sp.02;yes;Diptera;NA;0;4;;;;;1;3;1;157;;;;;;;;;;;;;1;4;0;
2019;Nov;13;09;40;;;Senpur4_20191113_09_00;1;Senecio;purpureus;4;10;0;;;;#VALUE!;#VALUE!;;;;#VALUE!;;;;#N/A;#N/A;#VALUE!;;;;;;;;;;;;;;;;;;;;;;;;;
2019;Nov;13;09;41;;;Senpur4_20191113_09_00;1;Senecio;purpureus;4;10;0;;;;#VALUE!;#VALUE!;;;;#VALUE!;;;;#N/A;#N/A;#VALUE!;;;;;;;;;;;;;;;;;;;;;;;;;
2019;Nov;13;09;42;00 36;;Senpur4_20191113_09_00;1;Senecio;purpureus;4;10;0;;1;09:42:36;42:36;320;09;47;56;47:56;Small apoidea sp.;Striped Halictidae;yes;Hymenoptera;NA;0;8;;;1;8;1;3;1;309;;;;;;;;;;;;;1;8;0;
2019;Nov;13;09;43;;;Senpur4_20191113_09_00;1;Senecio;purpureus;4;10;0;;;;#VALUE!;#VALUE!;;;;#VALUE!;;;;#N/A;#N/A;#VALUE!;;;;;;;;;;;;;;;;;;;;;;;;;
2019;Nov;13;09;44;00 35;;Senpur4_20191113_09_00;1;Senecio;purpureus;4;10;0;;1;09:44:35;44:35;31;09;45;06;45:06;Brachycera sp.;Brachycera;;Diptera;NA;0;2;;;;;1;2;1;29;;;;;;;;;;;;;1;2;0;
2019;Nov;13;09;45;;;Senpur4_20191113_09_00;1;Senecio;purpureus;4;10;0;;;;#VALUE!;#VALUE!;;;;#VALUE!;;;;#N/A;#N/A;#VALUE!;;;;;;;;;;;;;;;;;;;;;;;;;
