TIME;;;;;;;FILES;;PLANT ID;;;;;;VISITORS (1);;;;;;;;;;;;;;VISITOR BEHAVIOUR (1);;;;;;;;;;;;;;;;;;;;;CONTACT (1);;;
Year;Month;Day;Hour;Min;Sec;##;Video file name;Video record present;Plant Genus;Plant Species;Plant Number;Number of observed flowers (M | F);;Multiplier;Visitor arrival;Exact time of arrival;T.o.A. in video file;Total duration of visit (sec);Exact time of departure;;;T.o.D. in video file;Visitor species;JHSD IDs;Morphospecies;Insect order ;Sex;;Number of visited flowers (M | F);;Flower number;Resting/walking;Duration (sec);Flying;Duration (sec);Feeding on pollen;Duration (sec);Feeding on nectar ;Duration (sec);Unsuccessful nectardrinking attempts;Duration (sec);Feeding on floral parts;Duration (sec);Smelling' the flower;Duration (sec);Comment (visitor behaviour);Primary Robbing;Secondary robbing;;Contact with anthers;# flowers with anthers contacted;Contact with stigma;# flowers with stigmas contacted
2019;Nov;10;12;14;;;Gerara3_20191110_12_00;1;Geranium;arabicum;3;3;0;;;;#VALUE!;#VALUE!;;;;#VALUE!;;;;#N/A;#N/A;#VALUE!;;;;;;;;;;;;;;;;;;;;;;;;;
2019;Nov;10;12;15;;;Gerara3_20191110_12_00;1;Geranium;arabicum;3;3;0;;;;#VALUE!;#VALUE!;;;;#VALUE!;;;;#N/A;#N/A;#VALUE!;;;;;;;;;;;;;;;;;;;;;;;;;
2019;Nov;10;12;16;00 37;;Gerara3_20191110_12_00;1;Geranium;arabicum;3;3;0;;1;12:16:37;16:37;32;12;17;09;17:09;Brachycera sp.;Anthomyia sp.02;yes;Diptera;NA;0;1;;;1;19;;;1;13;;;;;;;;;;;;;1;1;0;
2019;Nov;10;12;17;;;Gerara3_20191110_12_00;1;Geranium;arabicum;3;3;0;;;;#VALUE!;#VALUE!;;;;#VALUE!;;;;#N/A;#N/A;#VALUE!;;;;;;;;;;;;;;;;;;;;;;;;;
2019;Nov;10;12;18;;;Gerara3_20191110_12_00;1;Geranium;arabicum;3;3;0;;;;#VALUE!;#VALUE!;;;;#VALUE!;;;;#N/A;#N/A;#VALUE!;;;;;;;;;;;;;;;;;;;;;;;;;
2019;Nov;10;12;19;;;Gerara3_20191110_12_00;1;Geranium;arabicum;3;3;0;;;;#VALUE!;#VALUE!;;;;#VALUE!;;;;#N/A;#N/A;#VALUE!;;;;;;;;;;;;;;;;;;;;;;;;;
2019;Nov;10;12;20;;;Gerara3_20191110_12_00;1;Geranium;arabicum;3;3;0;;;;#VALUE!;#VALUE!;;;;#VALUE!;;;;#N/A;#N/A;#VALUE!;;;;;;;;;;;;;;;;;;;;;;;;;
2019;Nov;10;12;21;;;Gerara3_20191110_12_00;1;Geranium;arabicum;3;3;0;;;;#VALUE!;#VALUE!;;;;#VALUE!;;;;#N/A;#N/A;#VALUE!;;;;;;;;;;;;;;;;;;;;;;;;;
2019;Nov;10;12;22;;;Gerara3_20191110_12_00;1;Geranium;arabicum;3;3;0;;;;#VALUE!;#VALUE!;;;;#VALUE!;;;;#N/A;#N/A;#VALUE!;;;;;;;;;;;;;;;;;;;;;;;;;
2019;Nov;10;12;23;00 03;;Gerara3_20191110_12_00;1;Geranium;arabicum;3;3;0;;1;12:23:03;23:03;268;12;27;31;27:31;small unknown;Acalyptratae;;Diptera;NA;0;1;;;1;268;;;;;;;;;;;;;;;;;1;1;0;
2019;Nov;10;12;24;;;Gerara3_20191110_12_00;1;Geranium;arabicum;3;3;0;;;;#VALUE!;#VALUE!;;;;#VALUE!;;;;#N/A;#N/A;#VALUE!;;;;;;;;;;;;;;;;;;;;;;;;;
2019;Nov;10;12;25;;;Gerara3_20191110_12_00;1;Geranium;arabicum;3;3;0;;;;#VALUE!;#VALUE!;;;;#VALUE!;;;;#N/A;#N/A;#VALUE!;;;;;;;;;;;;;;;;;;;;;;;;;
2019;Nov;10;12;26;;;Gerara3_20191110_12_00;1;Geranium;arabicum;3;3;0;;;;#VALUE!;#VALUE!;;;;#VALUE!;;;;#N/A;#N/A;#VALUE!;;;;;;;;;;;;;;;;;;;;;;;;;
2019;Nov;10;12;27;;;Gerara3_20191110_12_00;1;Geranium;arabicum;3;3;0;;;;#VALUE!;#VALUE!;;;;#VALUE!;;;;#N/A;#N/A;#VALUE!;;;;;;;;;;;;;;;;;;;;;;;;;
2019;Nov;10;12;28;00 16;;Gerara3_20191110_12_00;1;Geranium;arabicum;3;3;0;;1;12:28:16;28:16;18;12;28;34;28:34;strip Brachycera sp.;Tachinidae sp.02;yes;Diptera;NA;0;1;;;1;8;;;;;1;10;;;;;;;;;;;1;1;0;
2019;Nov;10;12;29;;;Gerara3_20191110_12_00;1;Geranium;arabicum;3;3;0;;;;#VALUE!;#VALUE!;;;;#VALUE!;;;;#N/A;#N/A;#VALUE!;;;;;;;;;;;;;;;;;;;;;;;;;
2019;Nov;10;12;30;;;Gerara3_20191110_12_00;1;Geranium;arabicum;3;3;0;;;;#VALUE!;#VALUE!;;;;#VALUE!;;;;#N/A;#N/A;#VALUE!;;;;;;;;;;;;;;;;;;;;;;;;;
2019;Nov;10;12;31;;;Gerara3_20191110_12_00;1;Geranium;arabicum;3;3;0;;;;#VALUE!;#VALUE!;;;;#VALUE!;;;;#N/A;#N/A;#VALUE!;;;;;;;;;;;;;;;;;;;;;;;;;
2019;Nov;10;12;32;;;Gerara3_20191110_12_00;1;Geranium;arabicum;3;3;0;;;;#VALUE!;#VALUE!;;;;#VALUE!;;;;#N/A;#N/A;#VALUE!;;;;;;;;;;;;;;;;;;;;;;;;;
2019;Nov;10;12;33;;;Gerara3_20191110_12_00;1;Geranium;arabicum;3;3;0;;;;#VALUE!;#VALUE!;;;;#VALUE!;;;;#N/A;#N/A;#VALUE!;;;;;;;;;;;;;;;;;;;;;;;;;
2019;Nov;10;12;34;;;Gerara3_20191110_12_00;1;Geranium;arabicum;3;3;0;;;;#VALUE!;#VALUE!;;;;#VALUE!;;;;#N/A;#N/A;#VALUE!;;;;;;;;;;;;;;;;;;;;;;;;;
2019;Nov;10;12;35;;;Gerara3_20191110_12_00;1;Geranium;arabicum;3;3;0;;;;#VALUE!;#VALUE!;;;;#VALUE!;;;;#N/A;#N/A;#VALUE!;;;;;;;;;;;;;;;;;;;;;;;;;
2019;Nov;10;12;36;;;Gerara3_20191110_12_00;1;Geranium;arabicum;3;3;0;;;;#VALUE!;#VALUE!;;;;#VALUE!;;;;#N/A;#N/A;#VALUE!;;;;;;;;;;;;;;;;;;;;;;;;;
2019;Nov;10;12;37;;;Gerara3_20191110_12_00;1;Geranium;arabicum;3;3;0;;;;#VALUE!;#VALUE!;;;;#VALUE!;;;;#N/A;#N/A;#VALUE!;;;;;;;;;;;;;;;;;;;;;;;;;
2019;Nov;10;12;38;;;Gerara3_20191110_12_00;1;Geranium;arabicum;3;3;0;;;;#VALUE!;#VALUE!;;;;#VALUE!;;;;#N/A;#N/A;#VALUE!;;;;;;;;;;;;;;;;;;;;;;;;;
