    ;;;;;;;FILES;;PLANT ID;;;;;;VISITORS (1);;;;;;;;;;;;;;VISITOR BEHAVIOUR (1);;;;;;;;;;;;;;;;;;;CONTACT (1);;;
Year;Month;Day;Hour;Min;Sec;##;Video file name;Video record present;Plant Genus;Plant Species;Plant Number;Number of observed flowers (M | F);;Multiplier;Visitor arrival;Exact time of arrival;T.o.A. in video file;Total duration of visit (sec);Exact time of departure;;;T.o.D. in video file;Visitor species;SD IDs;;Insect order ;Sex;;Number of visited flowers (M | F);;Flower number;Resting/walking;Duration (sec);Flying;Duration (sec);Feeding on pollen;Duration (sec);Feeding on nectar ;Duration (sec);Unsuccessful nectardrinking attempts;Duration (sec);Feeding on floral parts;Duration (sec);Comment (visitor behaviour);Primary Robbing;Secondary robbing;;Contact with anthers;# flowers with anthers contacted;Contact with stigma;# flowers with stigmas contacted
2019;Nov;22;11;48;;;Lacine12_20191122_11_00;1;Lactuca;inermis;12;3;0;;;;#VALUE!;#VALUE!;;;;#VALUE!;;;;#N/A;#N/A;#VALUE!;;;;;;;;;;;;;;;;;;;;;;;
2019;Nov;22;11;49;;;Lacine12_20191122_11_00;1;Lactuca;inermis;12;3;0;;;;#VALUE!;#VALUE!;;;;#VALUE!;;;;#N/A;#N/A;#VALUE!;;;;;;;;;;;;;;;;;;;;;;;
2019;Nov;22;11;50;00 51;;Lacine12_20191122_11_00;1;Lactuca;inermis;12;3;0;;1;11:50:51;50:51;19;11;51;10;51:10;fly;Striped fly with ant;;Diptera;NA;0;1;;;;;;;;;1;19;;;;;;;;;1;1;1;1
2019;Nov;22;11;51;;;Lacine12_20191122_11_00;1;Lactuca;inermis;12;3;0;;;;#VALUE!;#VALUE!;;;;#VALUE!;  ;;;#N/A;#N/A;#VALUE!;;;;;;;;;;;;;;;;;;;;;;;
2019;Nov;22;11;52;;;Lacine12_20191122_11_00;1;Lactuca;inermis;12;3;0;;;;#VALUE!;#VALUE!;;;;#VALUE!;;;;#N/A;#N/A;#VALUE!;;;;;;;;;;;;;;;;;;;;;;;
2019;Nov;22;11;53;00 12;;Lacine12_20191122_11_00;1;Lactuca;inermis;12;3;0;;1;11:53:12;53:12;22;11;53;34;53:34;like a bee!;small Apoidea;;Hymenoptera;NA;0;1;;;;;;;;;1;22;;;;;;;;;1;1;1;1
2019;Nov;22;11;54;;;Lacine12_20191122_11_00;1;Lactuca;inermis;12;3;0;;;;#VALUE!;#VALUE!;;;;#VALUE!; ;;;#N/A;#N/A;#VALUE!;;;;;;;;;;;;;;;;;;;;;;;
2019;Nov;22;11;55;;;Lacine12_20191122_11_00;1;Lactuca;inermis;12;3;0;;;;#VALUE!;#VALUE!;;;;#VALUE!;;;;#N/A;#N/A;#VALUE!;;;;;;;;;;;;;;;;;;;;;;;
2019;Nov;22;11;56;;;Lacine12_20191122_11_00;1;Lactuca;inermis;12;3;0;;;;#VALUE!;#VALUE!;;;;#VALUE!;;;;#N/A;#N/A;#VALUE!;;;;;;;;;;;;;;;;;;;;;;;
2019;Nov;22;11;57;;;Lacine12_20191122_11_00;1;Lactuca;inermis;12;3;0;;;;#VALUE!;#VALUE!;;;;#VALUE!;;;;#N/A;#N/A;#VALUE!;;;;;;;;;;;;;;;;;;;;;;;
2019;Nov;22;11;58;;;Lacine12_20191122_11_00;1;Lactuca;inermis;12;3;0;;;;#VALUE!;#VALUE!;;;;#VALUE!;;;;#N/A;#N/A;#VALUE!;;;;;;;;;;;;;;;;;;;;;;;
2019;Nov;22;11;59;;;Lacine12_20191122_11_00;1;Lactuca;inermis;12;3;0;;;;#VALUE!;#VALUE!;;;;#VALUE!;;;;#N/A;#N/A;#VALUE!;;;;;;;;;;;;;;;;;;;;;;;
2019;Nov;22;12;00;;;Lacine12_20191122_12_00;1;Lactuca;inermis;12;3;0;;;;#VALUE!;#VALUE!;;;;#VALUE!;;;;#N/A;#N/A;#VALUE!;;;;;;;;;;;;;;;;;;;;;;;
2019;Nov;22;12;01;;;Lacine12_20191122_12_00;1;Lactuca;inermis;12;3;0;;;;#VALUE!;#VALUE!;;;;#VALUE!;;;;#N/A;#N/A;#VALUE!;;;;;;;;;;;;;;;;;;;;;;;
2019;Nov;22;12;02;;;Lacine12_20191122_12_00;1;Lactuca;inermis;12;3;0;;;;#VALUE!;#VALUE!;;;;#VALUE!;;;;#N/A;#N/A;#VALUE!;;;;;;;;;;;;;;;;;;;;;;;
2019;Nov;22;12;03;;;Lacine12_20191122_12_00;1;Lactuca;inermis;12;3;0;;;;#VALUE!;#VALUE!;;;;#VALUE!;;;;#N/A;#N/A;#VALUE!;;;;;;;;;;;;;;;;;;;;;;;
2019;Nov;22;12;04;00 11;;Lacine12_20191122_12_00;1;Lactuca;inermis;12;3;0;;1;12:04:11;04:11;51;12;05;02;05:02;fly;Striped fly with ant;;Diptera;NA;0;1;;;;;;;;;1;51;;;;;;;;;1;1;1;1
2019;Nov;22;12;04;00 39;;Lacine12_20191122_12_00;1;Lactuca;inermis;12;3;0;;1;12:04:39;04:39;42;12;05;21;05:21;fly;Striped fly with ant;;Diptera;NA;0;3;;;;;;;;;1;42;;;;;;;;;1;3;1;3
2019;Nov;22;12;04;00 49;;Lacine12_20191122_12_00;1;Lactuca;inermis;12;3;0;;1;12:04:49;04:49;02;12;04;51;04:51;black bee!;small Apoidea;;Hymenoptera;NA;0;1;;;1;2;;;;;;;;;;;;;;;0;0;0;0
2019;Nov;22;12;05;;;Lacine12_20191122_12_00;1;Lactuca;inermis;12;3;0;;;;#VALUE!;#VALUE!;;;;#VALUE!; ;;;#N/A;#N/A;#VALUE!;;;;;;;;;;;;;;;;;;;;;;;
2019;Nov;22;12;06;;;Lacine12_20191122_12_00;1;Lactuca;inermis;12;3;0;;;;#VALUE!;#VALUE!;;;;#VALUE!;;;;#N/A;#N/A;#VALUE!;;;;;;;;;;;;;;;;;;;;;;;
2019;Nov;22;12;07;;;Lacine12_20191122_12_00;1;Lactuca;inermis;12;3;0;;;;#VALUE!;#VALUE!;;;;#VALUE!;;;;#N/A;#N/A;#VALUE!;;;;;;;;;;;;;;;;;;;;;;;
2019;Nov;22;12;08;;;Lacine12_20191122_12_00;1;Lactuca;inermis;12;3;0;;;;#VALUE!;#VALUE!;;;;#VALUE!;;;;#N/A;#N/A;#VALUE!;;;;;;;;;;;;;;;;;;;;;;;
2019;Nov;22;12;09;;;Lacine12_20191122_12_00;1;Lactuca;inermis;12;3;0;;;;#VALUE!;#VALUE!;;;;#VALUE!;;;;#N/A;#N/A;#VALUE!;;;;;;;;;;;;;;;;;;;;;;;
