TIME;;;;;;;FILES;;PLANT ID;;;;;;VISITORS (1);;;;;;;;;;;;;;VISITOR BEHAVIOUR (1);;;;;;;;;;;;;;;;;;;CONTACT (1);;;
Year;Month;Day;Hour;Min;Sec;##;Video file name;Video record present;Plant Genus;Plant Species;Plant Number;Number of observed flowers (M | F);;Multiplier;Visitor arrival;Exact time of arrival;T.o.A. in video file;Total duration of visit (sec);Exact time of departure;;;T.o.D. in video file;Visitor species;Sylvain's ID;;Insect order ;Sex;;Number of visited flowers (M | F);;Flower number;Resting/walking;Duration (sec);Flying;Duration (sec);Feeding on pollen;Duration (sec);Feeding on nectar ;Duration (sec);Unsuccessful nectardrinking attempts;Duration (sec);Feeding on floral parts;Duration (sec);Comment (visitor behaviour);Primary Robbing;Secondary robbing;;Contact with anthers;# flowers with anthers contacted;Contact with stigma;# flowers with stigmas contacted
2021;Nov;12;10;22;;;Clesim4_20211112_10_00;1;Clematis;simenses;4;23;0;;;;#VALUE!;#VALUE!;;;;#VALUE!;;;;#N/A;#N/A;#VALUE!;;;;;;;;;;;;;;;;;;;;;;;
2021;Nov;12;10;23;;;Clesim4_20211112_10_00;1;Clematis;simenses;4;23;0;;;;#VALUE!;#VALUE!;;;;#VALUE!;;;;#N/A;#N/A;#VALUE!;;;;;;;;;;;;;;;;;;;;;;;
2021;Nov;12;10;24;;;Clesim4_20211112_10_00;1;Clematis;simenses;4;23;0;;;;#VALUE!;#VALUE!;;;;#VALUE!;;;;#N/A;#N/A;#VALUE!;;;;;;;;;;;;;;;;;;;;;;;
2021;Nov;12;10;25;;;Clesim4_20211112_10_00;1;Clematis;simenses;4;23;0;;;;#VALUE!;#VALUE!;;;;#VALUE!;;;;#N/A;#N/A;#VALUE!;;;;;;;;;;;;;;;;;;;;;;;
2021;Nov;12;10;26;;;Clesim4_20211112_10_00;1;Clematis;simenses;4;23;0;;;;#VALUE!;#VALUE!;;;;#VALUE!;;;;#N/A;#N/A;#VALUE!;;;;;;;;;;;;;;;;;;;;;;;
2021;Nov;12;10;27;;;Clesim4_20211112_10_00;1;Clematis;simenses;4;23;0;;;;#VALUE!;#VALUE!;;;;#VALUE!;;;;#N/A;#N/A;#VALUE!;;;;;;;;;;;;;;;;;;;;;;;
2021;Nov;12;10;28;00 07;;Clesim4_20211112_10_00;1;Clematis;simenses;4;23;0;;1;10:28:07;28:07;125;10;30;12;30:12;fly;cannot spot it;instead, the following bee arrives at this time…;;;;3;;;;;;;;;;;;;;;;;;;0;;0;
2021;Nov;12;10;28;00 07;;Clesim4_20211112_10_00;1;Clematis;simenses;4;23;0;;1;10:28:07;28:07;243;10;32;10;32:10;bee;Apis mellifera;;Hymenoptera;NA;;2;;;;;;;;;;;;;;;;;;;0;;0;
2021;Nov;12;10;29;;;Clesim4_20211112_10_00;1;Clematis;simenses;4;23;0;;;;#VALUE!;#VALUE!;;;;#VALUE!;;;;#N/A;#N/A;#VALUE!;;;;;;;;;;;;;;;;;;;;;;;
2021;Nov;12;10;30;;;Clesim4_20211112_10_00;1;Clematis;simenses;4;23;0;;;;#VALUE!;#VALUE!;;;;#VALUE!;;;;#N/A;#N/A;#VALUE!;;;;;;;;;;;;;;;;;;;;;;;
