"plant.code","species","elevation","total.visitor.count","morpho.visitor.count","visitors.per.minute","morpho.per.minute","total.morpho","total.func","most.common.func.morpho","proportion.most.common.visitor","proportion.most.common.morpho","proportion.most.common.func"
"3500purpureus14","Senecio p",3500,244,224,0.00451851851851852,0.00414814814814815,9,3,"Bee",0.700819672131147,0.700819672131147,0.922131147540984
"3500purpureus8","Senecio p",3500,274,269,0.00830856934926314,0.00815695312026199,7,2,"Other fly",0.912408759124088,0.912408759124088,0.996350364963504
"3500purpureus9","Senecio p",3500,445,417,0.00832958969751423,0.00780548068283917,5,2,"Other fly",0.69438202247191,0.69438202247191,0.986516853932584
"4000burtonii10","Senecio b",4000,4,1,0.000347222222222222,8.68055555555556e-05,1,1,"Other fly",0.25,0.25,1
"4000burtonii11","Senecio b",4000,1,0,5.78703703703704e-05,0,0,1,"Bee",0,0,1
"4000burtonii12","Senecio b",4000,2,2,0.000173611111111111,0.000173611111111111,1,1,"Other fly",1,1,1
"4000burtonii2","Senecio b",4000,1,0,0.000231481481481481,0,0,1,"Other fly",0,0,1
"4000burtonii3","Senecio b",4000,3,0,0.000694927032661571,0,0,1,"Bee",0,0,1
"4000burtonii4","Senecio b",4000,12,2,0.000898741761533853,0.000149790293588975,1,2,"Other fly",0.166666666666667,0.166666666666667,0.166666666666667
"4000burtonii6","Senecio b",4000,12,1,0.00138888888888889,0.000115740740740741,1,2,"Other fly",0.0833333333333333,0.0833333333333333,0.0833333333333333
"4000burtonii8","Senecio b",4000,0,0,0,0,0,0,NA,NA,NA,NA
"4000burtonii9","Senecio b",4000,2,1,9.25925925925926e-05,4.62962962962963e-05,1,1,"Other fly",0.5,0.5,1
"4000hypochoeridea1","Crepis h",4000,1,1,0.00260416666666667,0.00260416666666667,1,1,"Other fly",1,1,1
"4000hypochoeridea10","Crepis h",4000,2,2,0.00138888888888889,0.00138888888888889,2,1,"Other fly",0,0,1
"4000hypochoeridea11","Crepis h",4000,0,0,0,0,0,0,NA,NA,NA,NA
"4000hypochoeridea12","Crepis h",4000,2,2,0.00138792505204719,0.00138792505204719,1,1,"Other fly",1,1,1
"4000hypochoeridea2","Crepis h",4000,0,0,0,0,0,0,NA,NA,NA,NA
"4000hypochoeridea3","Crepis h",4000,4,3,0.0020253164556962,0.00151898734177215,1,1,"Other fly",0.75,0.75,1
"4000hypochoeridea4","Crepis h",4000,3,3,0.0105633802816901,0.0105633802816901,3,1,"Other fly",0,0,1
"4000hypochoeridea6","Crepis h",4000,0,0,0,0,0,0,NA,NA,NA,NA
"4000hypochoeridea7","Crepis h",4000,0,0,0,0,0,0,NA,NA,NA,NA
"4000hypochoeridea8","Crepis h",4000,0,0,0,0,0,0,NA,NA,NA,NA
"4000hypochoeridea9","Crepis h",4000,0,0,0,0,0,0,NA,NA,NA,NA
"4000inermis1","Lactuca i",4000,0,0,0,0,0,0,NA,NA,NA,NA
"4000inermis10","Lactuca i",4000,1,0,0.000167112299465241,0,0,1,"Other fly",0,0,1
"4000inermis11","Lactuca i",4000,3,0,0.00198544010589014,0,0,1,"Bee",0,0,1
"4000inermis12","Lactuca i",4000,3,0,0.00501672240802676,0,0,1,"Bee",0,0,1
"4000inermis2","Lactuca i",4000,0,0,0,0,0,0,NA,NA,NA,NA
"4000inermis3","Lactuca i",4000,0,0,0,0,0,0,NA,NA,NA,NA
"4000inermis4","Lactuca i",4000,0,0,0,0,0,0,NA,NA,NA,NA
"4000inermis5","Lactuca i",4000,0,0,0,0,0,0,NA,NA,NA,NA
"4000inermis6","Lactuca i",4000,2,1,0.000694444444444444,0.000347222222222222,1,1,"Other fly",0.5,0.5,1
"4000inermis8","Lactuca i",4000,0,0,0,0,0,0,NA,NA,NA,NA
"4000inermis9","Lactuca i",4000,0,0,0,0,0,0,NA,NA,NA,NA
"4000purpureus10","Senecio p",4000,0,0,0,0,0,0,NA,NA,NA,NA
"4000purpureus11","Senecio p",4000,0,0,0,0,0,0,NA,NA,NA,NA
"4000purpureus2","Senecio p",4000,0,0,0,0,0,0,NA,NA,NA,NA
"4000purpureus3","Senecio p",4000,2,0,4.20875420875421e-05,0,0,2,"Moth",0,0,0
"4000purpureus4","Senecio p",4000,1,0,3.47222222222222e-05,0,0,1,"Other fly",0,0,1
"4000purpureus5","Senecio p",4000,16,6,0.000271191037136223,0.000101696638926083,3,3,"Other fly",0.25,0.25,0.8125
"4000purpureus6","Senecio p",4000,4,2,0.000308641975308642,0.000154320987654321,2,1,"Other fly",0,0,1
"4000purpureus7","Senecio p",4000,2,1,0.000138888888888889,6.94444444444444e-05,1,2,"Other fly",0.5,0.5,0.5
"4000purpureus8","Senecio p",4000,6,0,0.00039333945194703,0,0,1,"Other fly",0,0,1
"4000purpureus9","Senecio p",4000,1,0,8.68432479374729e-05,0,0,1,"Other fly",0,0,1
"4000revolutum1","Hypericum r",4000,27,17,0.0187760778859527,0.0118219749652295,5,4,"Other fly",0.407407407407407,0.407407407407407,0.814814814814815
"4000revolutum2","Hypericum r",4000,10,0,0.00694444444444444,0,1,2,"Beetle",0,0,0.7
"4000revolutum3","Hypericum r",4000,1,0,0.00060790273556231,0,0,1,"Wasp",0,0,1
"4000revolutum4","Hypericum r",4000,8,4,0.00277777777777778,0.00138888888888889,3,3,"Other fly",0.25,0.25,0.5
"4000revolutum5","Hypericum r",4000,4,1,0.00221852468108708,0.000554631170271769,1,2,"Other fly",0.25,0.25,0.75
"4000revolutum6","Hypericum r",4000,2,0,0.00121580547112462,0,0,2,"Hoverfly",0,0,0
"4000revolutum7","Hypericum r",4000,11,2,0.00398550724637681,0.00072463768115942,1,2,"Other fly",0.181818181818182,0.181818181818182,0.818181818181818
"4000revolutum8","Hypericum r",4000,4,0,0.00277777777777778,0,0,2,"Other fly",0,0,0
