TIME;;;;;;;FILES;;PLANT ID;;;;;;VISITORS (1);;;;;;;;;;;;;;VISITOR BEHAVIOUR (1);;;;;;;;;;;;;;;;;;;CONTACT (1);;;
Year;Month;Day;Hour;Min;Sec;##;Video file name;Video record present;Plant Genus;Plant Species;Plant Number;Number of observed flowers (M | F);;Multiplier;Visitor arrival;Exact time of arrival;T.o.A. in video file;Total duration of visit (sec);Exact time of departure;;;T.o.D. in video file;Visitor species;Sylvain's ID;;Insect order ;Sex;;Number of visited flowers (M | F);;Flower number;Resting/walking;Duration (sec);Flying;Duration (sec);Feeding on pollen;Duration (sec);Feeding on nectar ;Duration (sec);Unsuccessful nectardrinking attempts;Duration (sec);Feeding on floral parts;Duration (sec);Comment (visitor behaviour);Primary Robbing;Secondary robbing;;Contact with anthers;# flowers with anthers contacted;Contact with stigma;# flowers with stigmas contacted
2021;Nov;13;15;46;;;Clesim5_20211113_15_00;1;Clematis;simense;5;12;0;;;;#VALUE!;#VALUE!;;;;#VALUE!;;;;#N/A;#N/A;#VALUE!;;;;;;;;;;;;;;;;;;;;;;;
2021;Nov;13;15;47;00 14;;Clesim5_20211113_15_00;1;Clematis;simense;5;12;0;;1;15:47:14;47:14;48;15;48;02;48:02;fly;Anthomyia sp.02;;Diptera;NA;;1;;;;;;;;;;;;;;;moved to flower centre;;;;0;;0;
2021;Nov;13;15;48;;;Clesim5_20211113_15_00;1;Clematis;simense;5;12;0;;;;#VALUE!;#VALUE!;;;;#VALUE!;;;;#N/A;#N/A;#VALUE!;;;;;;;;;;;;;;;;;;;;;;;
2021;Nov;13;15;49;;;Clesim5_20211113_15_00;1;Clematis;simense;5;12;0;;;;#VALUE!;#VALUE!;;;;#VALUE!;;;;#N/A;#N/A;#VALUE!;;;;;;;;;;;;;;;;;;;;;;;
2021;Nov;13;15;50;;;Clesim5_20211113_15_00;1;Clematis;simense;5;12;0;;;;#VALUE!;#VALUE!;;;;#VALUE!;;;;#N/A;#N/A;#VALUE!;;;;;;;;;;;;;;;;;;;;;;;
2021;Nov;13;15;51;;;Clesim5_20211113_15_00;1;Clematis;simense;5;12;0;;;;#VALUE!;#VALUE!;;;;#VALUE!;;;;#N/A;#N/A;#VALUE!;;;;;;;;;;;;;;;;;;;;;;;
2021;Nov;13;15;52;;;Clesim5_20211113_15_00;1;Clematis;simense;5;12;0;;;;#VALUE!;#VALUE!;;;;#VALUE!;;;;#N/A;#N/A;#VALUE!;;;;;;;;;;;;;;;;;;;;;;;
2021;Nov;13;15;53;;;Clesim5_20211113_15_00;1;Clematis;simense;5;12;0;;;;#VALUE!;#VALUE!;;;;#VALUE!;;;;#N/A;#N/A;#VALUE!;;;;;;;;;;;;;;;;;;;;;;;
2021;Nov;13;15;54;;;Clesim5_20211113_15_00;1;Clematis;simense;5;12;0;;;;#VALUE!;#VALUE!;;;;#VALUE!;;;;#N/A;#N/A;#VALUE!;;;;;;;;;;;;;;;;;;;;;;;
2021;Nov;13;15;55;;;Clesim5_20211113_15_00;1;Clematis;simense;5;12;0;;;;#VALUE!;#VALUE!;;;;#VALUE!;;;;#N/A;#N/A;#VALUE!;;;;;;;;;;;;;;;;;;;;;;;
2021;Nov;13;15;56;;;Clesim5_20211113_15_00;1;Clematis;simense;5;12;0;;;;#VALUE!;#VALUE!;;;;#VALUE!;;;;#N/A;#N/A;#VALUE!;;;;;;;;;;;;;;;;;;;;;;;
2021;Nov;13;15;57;;;Clesim5_20211113_15_00;1;Clematis;simense;5;12;0;;;;#VALUE!;#VALUE!;;;;#VALUE!;;;;#N/A;#N/A;#VALUE!;;;;;;;;;;;;;;;;;;;;;;;
2021;Nov;13;15;58;00 04;;Clesim5_20211113_15_00;1;Clematis;simense;5;12;0;;1;15:58:04;58:04;86;15;59;30;59:30;fly;Diptera sp.02;;Diptera;NA;;1;;;;;;;;;;;;;;;walks on petals;;;;0;;0;
2021;Nov;13;15;59;;;Clesim5_20211113_15_00;1;Clematis;simense;5;12;0;;;;#VALUE!;#VALUE!;;;;#VALUE!;;;;#N/A;#N/A;#VALUE!;;;;;;;;;;;;;;;;;;;;;;;
