TIME;;;;;;;FILES;;PLANT ID;;;;;;VISITORS (1);;;;;;;;;;;;;;VISITOR BEHAVIOUR (1);;;;;;;;;;;;;;;;;;;CONTACT (1);;;
Year;Month;Day;Hour;Min;Sec;##;Video file name;Video record present;Plant Genus;;Plant Number;Number of observed flowers (M | F);;Multiplier;Visitor arrival;Exact time of arrival;T.o.A. in video file;Total duration of visit (sec);Exact time of departure;;;T.o.D. in video file;Visitor species;JH/SD IDs;Morphospecies;Insect order ;Sex;;Number of visited flowers (M | F);;Flower number;Resting/walking;Duration (sec);Flying;Duration (sec);Feeding on pollen;Duration (sec);Feeding on nectar ;Duration (sec);Unsuccessful nectardrinking attempts;Duration (sec);Feeding on floral parts;Duration (sec);Comment (visitor behaviour);Primary Robbing;Secondary robbing;;Contact with anthers;# flowers with anthers contacted;Contact with stigma;# flowers with stigmas contacted
2019;Nov;22;11;24;;;Crehyp10_20191122_11_00;1;Crepis ;hypochoeridea;10;3;0;;;;#VALUE!;#VALUE!;;;;#VALUE!;;;;#N/A;#N/A;#VALUE!;;;;;;;;;;;;;;;;;;;;;;;
2019;Nov;22;11;25;;;Crehyp10_20191122_11_00;1;Crepis ;hypochoeridea;10;3;0;;;;#VALUE!;#VALUE!;;;;#VALUE!;;;;#N/A;#N/A;#VALUE!;;;;;;;;;;;;;;;;;;;;;;;
2019;Nov;22;11;26;;;Crehyp10_20191122_11_00;1;Crepis ;hypochoeridea;10;3;0;;;;#VALUE!;#VALUE!;;;;#VALUE!;;;;#N/A;#N/A;#VALUE!;;;;;;;;;;;;;;;;;;;;;;;
2019;Nov;22;11;27;;;Crehyp10_20191122_11_00;1;Crepis ;hypochoeridea;10;3;0;;;;#VALUE!;#VALUE!;;;;#VALUE!;;;;#N/A;#N/A;#VALUE!;;;;;;;;;;;;;;;;;;;;;;;
2019;Nov;22;11;28;;;Crehyp10_20191122_11_00;1;Crepis ;hypochoeridea;10;3;0;;;;#VALUE!;#VALUE!;;;;#VALUE!;;;;#N/A;#N/A;#VALUE!;;;;;;;;;;;;;;;;;;;;;;;
2019;Nov;22;11;29;00 37;;Crehyp10_20191122_11_00;1;Crepis ;hypochoeridea;10;3;0;;1;11:29:37;29:37;21;11;29;58;29:58;fly ;Striped fly with ant;yes;Diptera;NA;0;1;;;1;21;;;;;;;;;;;;;;;1;1;1;1
2019;Nov;22;11;30;;;Crehyp10_20191122_11_00;1;Crepis ;hypochoeridea;10;3;0;;;;#VALUE!;#VALUE!;;;;#VALUE!;;;;#N/A;#N/A;#VALUE!;;;;;;;;;;;;;;;;;;;;;;;
2019;Nov;22;11;31;00 30;;Crehyp10_20191122_11_00;1;Crepis ;hypochoeridea;10;3;0;;1;11:31:30;31:30;12;11;31;42;31:42;fly ;Calliphoridae sp.05;yes;Diptera;NA;0;1;;;1;12;;;;;;;;;;;;;;;1;1;1;1
2019;Nov;22;11;32;;;Crehyp10_20191122_11_00;1;Crepis ;hypochoeridea;10;3;0;;;;#VALUE!;#VALUE!;;;;#VALUE!;;;;#N/A;#N/A;#VALUE!;;;;;;;;;;;;;;;;;;;;;;;
2019;Nov;22;11;33;;;Crehyp10_20191122_11_00;1;Crepis ;hypochoeridea;10;3;0;;;;#VALUE!;#VALUE!;;;;#VALUE!;;;;#N/A;#N/A;#VALUE!;;;;;;;;;;;;;;;;;;;;;;;
2019;Nov;22;11;34;;;Crehyp10_20191122_11_00;1;Crepis ;hypochoeridea;10;3;0;;;;#VALUE!;#VALUE!;;;;#VALUE!;;;;#N/A;#N/A;#VALUE!;;;;;;;;;;;;;;;;;;;;;;;
2019;Nov;22;11;35;;;Crehyp10_20191122_11_00;1;Crepis ;hypochoeridea;10;3;0;;;;#VALUE!;#VALUE!;;;;#VALUE!;;;;#N/A;#N/A;#VALUE!;;;;;;;;;;;;;;;;;;;;;;;
2019;Nov;22;11;36;;;Crehyp10_20191122_11_00;1;Crepis ;hypochoeridea;10;3;0;;;;#VALUE!;#VALUE!;;;;#VALUE!;;;;#N/A;#N/A;#VALUE!;;;;;;;;;;;;;;;;;;;;;;;
2019;Nov;22;11;37;00 21;;Crehyp10_20191122_11_00;1;Crepis ;hypochoeridea;10;3;0;;1;11:37:21;37:21;21;11;37;42;37:42;fly ;Striped fly with ant;yes;Diptera;NA;0;1;;;1;21;;;;;;;;;;;;;;;1;1;1;1
2019;Nov;22;11;38;;;Crehyp10_20191122_11_00;1;Crepis ;hypochoeridea;10;3;0;;;;#VALUE!;#VALUE!;;;;#VALUE!;;;;#N/A;#N/A;#VALUE!;;;;;;;;;;;;;;;;;;;;;;;
2019;Nov;22;11;39;;;Crehyp10_20191122_11_00;1;Crepis ;hypochoeridea;10;3;0;;;;#VALUE!;#VALUE!;;;;#VALUE!;;;;#N/A;#N/A;#VALUE!;;;;;;;;;;;;;;;;;;;;;;;
2019;Nov;22;11;40;00 00;;Crehyp10_20191122_11_00;1;Crepis ;hypochoeridea;10;3;0;;1;11:40:00;40:00;02;11;40;02;40:02;fly ;Brachycera;;Diptera;NA;0;1;;;1;2;;;;;;;;;;;;;;;0;;0;
2019;Nov;22;11;40;00 45;;Crehyp10_20191122_11_00;1;Crepis ;hypochoeridea;10;3;0;;1;11:40:45;40:45;41;11;41;26;41:26;fly ;Brachycera;;Diptera;NA;0;2;;;1;41;;;;;;;;;;;;;;;1;2;1;2
2019;Nov;22;11;41;;;Crehyp10_20191122_11_00;1;Crepis ;hypochoeridea;10;3;0;;;;#VALUE!;#VALUE!;;;;#VALUE!;;;;#N/A;#N/A;#VALUE!;;;;;;;;;;;;;;;;;;;;;;;
2019;Nov;22;11;42;;;Crehyp10_20191122_11_00;1;Crepis ;hypochoeridea;10;3;0;;;;#VALUE!;#VALUE!;;;;#VALUE!;;;;#N/A;#N/A;#VALUE!;;;;;;;;;;;;;;;;;;;;;;;
2019;Nov;22;11;43;;;Crehyp10_20191122_11_00;1;Crepis ;hypochoeridea;10;3;0;;;;#VALUE!;#VALUE!;;;;#VALUE!;;;;#N/A;#N/A;#VALUE!;;;;;;;;;;;;;;;;;;;;;;;
2019;Nov;22;11;44;00 34;;Crehyp10_20191122_11_00;1;Crepis ;hypochoeridea;10;3;0;;1;11:44:34;44:34;46;11;45;20;45:20;fly ;Striped fly with ant;yes;Diptera;NA;0;2;;;1;46;;;;;;;;;;;;;;;1;2;1;2
2019;Nov;22;11;45;;;Crehyp10_20191122_11_00;1;Crepis ;hypochoeridea;10;3;0;;;;#VALUE!;#VALUE!;;;;#VALUE!;;;;#N/A;#N/A;#VALUE!;;;;;;;;;;;;;;;;;;;;;;;
