TIME;;;;;;;FILES;;PLANT ID;;;;;;VISITORS (1);;;;;;;;;;;;;;VISITOR BEHAVIOUR (1);;;;;;;;;;;;;;;;;;;;;CONTACT (1);;;
Year;Month;Day;Hour;Min;Sec;##;Video file name;Video record present;Plant Genus;Plant Species;Plant Number;Number of observed flowers (M | F);;Multiplier;Visitor arrival;Exact time of arrival;T.o.A. in video file;Total duration of visit (sec);Exact time of departure;;;T.o.D. in video file;Visitor species;SD IDs;;Insect order ;Sex;;Number of visited flowers (M | F);;Flower number;Resting/walking;Duration (sec);Flying;Duration (sec);Feeding on pollen;Duration (sec);Feeding on nectar ;Duration (sec);Unsuccessful nectardrinking attempts;Duration (sec);Feeding on floral parts;Duration (sec);Smelling' the flower;Duration (sec);Comment (visitor behaviour);Primary Robbing;Secondary robbing;;Contact with anthers;# flowers with anthers contacted;Contact with stigma;# flowers with stigmas contacted
2019;Nov;27;13;30;;;Senpur13_20191127_13_00;1;Senecio;purpureus;13;65;0;;;;#VALUE!;#VALUE!;;;;#VALUE!;;;;#N/A;#N/A;#VALUE!;;;;;;;;;;;;;;;;;;;;;;;;;
2019;Nov;27;13;31;;;Senpur13_20191127_13_00;1;Senecio;purpureus;13;65;0;;;;#VALUE!;#VALUE!;;;;#VALUE!;;;;#N/A;#N/A;#VALUE!;;;;;;;;;;;;;;;;;;;;;;;;;
2019;Nov;27;13;32;;;Senpur13_20191127_13_00;1;Senecio;purpureus;13;65;0;;;;#VALUE!;#VALUE!;;;;#VALUE!;;;;#N/A;#N/A;#VALUE!;;;;;;;;;;;;;;;;;;;;;;;;;
2019;Nov;27;13;33;;;Senpur13_20191127_13_00;1;Senecio;purpureus;13;65;0;;;;#VALUE!;#VALUE!;;;;#VALUE!;;;;#N/A;#N/A;#VALUE!;;;;;;;;;;;;;;;;;;;;;;;;;
2019;Nov;27;13;34;;;Senpur13_20191127_13_00;1;Senecio;purpureus;13;65;0;;;;#VALUE!;#VALUE!;;;;#VALUE!;;;;#N/A;#N/A;#VALUE!;;;;;;;;;;;;;;;;;;;;;;;;;
2019;Nov;27;13;35;;;Senpur13_20191127_13_00;1;Senecio;purpureus;13;65;0;;;;#VALUE!;#VALUE!;;;;#VALUE!;;;;#N/A;#N/A;#VALUE!;;;;;;;;;;;;;;;;;;;;;;;;;
2019;Nov;27;13;36;;;Senpur13_20191127_13_00;1;Senecio;purpureus;13;65;0;;;;#VALUE!;#VALUE!;;;;#VALUE!;;;;#N/A;#N/A;#VALUE!;;;;;;;;;;;;;;;;;;;;;;;;;
2019;Nov;27;13;37;;;Senpur13_20191127_13_00;1;Senecio;purpureus;13;65;0;;;;#VALUE!;#VALUE!;;;;#VALUE!;;;;#N/A;#N/A;#VALUE!;;;;;;;;;;;;;;;;;;;;;;;;;
2019;Nov;27;13;38;00 33;;Senpur13_20191127_13_00;1;Senecio;purpureus;13;65;0;;1;13:38:33;38:33;76;13;39;49;39:49;Acalyptratae sp.;Striped fly with ant;;Diptera;NA;0;1;;;;;;;1;76;;;;;;;;;;;;;1;1;0;
2019;Nov;27;13;39;00 44;;Senpur13_20191127_13_00;1;Senecio;purpureus;13;65;0;;1;13:39:44;39:44;37;13;40;21;40:21;Acalyptratae sp.;Striped fly with ant;;Diptera;NA;0;1;;;;;;;1;37;;;;;;;;;;;;;1;1;0;
2019;Nov;27;13;40;;;Senpur13_20191127_13_00;1;Senecio;purpureus;13;65;0;;;;#VALUE!;#VALUE!;;;;#VALUE!;;;;#N/A;#N/A;#VALUE!;;;;;;;;;;;;;;;;;;;;;;;;;
2019;Nov;27;13;41;00 57;;Senpur13_20191127_13_00;1;Senecio;purpureus;13;65;0;;1;13:41:57;41:57;77;13;43;14;43:14;Acalyptratae sp.;Striped fly with ant;;Diptera;NA;0;1;;;;;;;1;77;;;;;;;;;;;;;1;1;0;
2019;Nov;27;13;41;00 50;;Senpur13_20191127_13_00;1;Senecio;purpureus;13;65;0;;1;13:41:50;41:50;40;13;42;30;42:30;Acalyptratae sp.;Striped fly with ant;;Diptera;NA;0;1;;;;;;;1;40;;;;;;;;;;;;;1;1;0;
2019;Nov;27;13;42;00 27;;Senpur13_20191127_13_00;1;Senecio;purpureus;13;65;0;;1;13:42:27;42:27;22;13;42;49;42:49;Acalyptratae sp.;Striped fly with ant;;Diptera;NA;0;3;;;;;1;1;1;21;;;;;;;;;;;;;1;3;0;
2019;Nov;27;13;42;00 27;;Senpur13_20191127_13_00;1;Senecio;purpureus;13;65;0;;1;13:42:27;42:27;03;13;42;30;42:30;Acalyptratae sp.;Striped fly with ant;;Diptera;NA;0;1;;;;;;;1;3;;;;;;;;;;;;;1;1;0;
2019;Nov;27;13;43;00 06;;Senpur13_20191127_13_00;1;Senecio;purpureus;13;65;0;;1;13:43:06;43:06;26;13;43;32;43:32;Acalyptratae sp.;Striped fly with ant;;Diptera;NA;0;1;;;;;;;1;26;;;;;;;;;;;;;1;1;0;
2019;Nov;27;13;44;00 28;;Senpur13_20191127_13_00;1;Senecio;purpureus;13;65;0;;1;13:44:28;44:28;-2668;13;;;#VALUE!;Acalyptratae sp.;Striped fly with ant;;Diptera;NA;;2;;;1;1;;;;;;;;;;;;;Unknowned departure;;;;1;2;0;
2019;Nov;27;13;45;;;SenPur13_20191127_13_45;1;Senecio;purpureus;13;65;0;;;;#VALUE!;#VALUE!;;;;#VALUE!;;;;#N/A;#N/A;#VALUE!;;;;;;;;;;;;;;;;;;Corrupted file;;;;;;;
2019;Nov;27;13;46;;;SenPur13_20191127_13_45;1;Senecio;purpureus;13;65;0;;;;#VALUE!;#VALUE!;;;;#VALUE!;;;;#N/A;#N/A;#VALUE!;;;;;;;;;;;;;;;;;;Corrupted file;;;;;;;
2019;Nov;27;13;47;;;SenPur13_20191127_13_45;1;Senecio;purpureus;13;65;0;;;;#VALUE!;#VALUE!;;;;#VALUE!;;;;#N/A;#N/A;#VALUE!;;;;;;;;;;;;;;;;;;Corrupted file;;;;;;;
2019;Nov;27;13;48;;;SenPur13_20191127_13_45;1;Senecio;purpureus;13;65;0;;;;#VALUE!;#VALUE!;;;;#VALUE!;;;;#N/A;#N/A;#VALUE!;;;;;;;;;;;;;;;;;;Corrupted file;;;;;;;
2019;Nov;27;13;49;;;SenPur13_20191127_13_45;1;Senecio;purpureus;13;65;0;;;;#VALUE!;#VALUE!;;;;#VALUE!;;;;#N/A;#N/A;#VALUE!;;;;;;;;;;;;;;;;;;Corrupted file;;;;;;;
2019;Nov;27;13;50;;;SenPur13_20191127_13_45;1;Senecio;purpureus;13;65;0;;;;#VALUE!;#VALUE!;;;;#VALUE!;;;;#N/A;#N/A;#VALUE!;;;;;;;;;;;;;;;;;;Corrupted file;;;;;;;
2019;Nov;27;13;51;;;SenPur13_20191127_13_45;1;Senecio;purpureus;13;65;0;;;;#VALUE!;#VALUE!;;;;#VALUE!;;;;#N/A;#N/A;#VALUE!;;;;;;;;;;;;;;;;;;Corrupted file;;;;;;;
2019;Nov;27;13;52;;;SenPur13_20191127_13_45;1;Senecio;purpureus;13;65;0;;;;#VALUE!;#VALUE!;;;;#VALUE!;;;;#N/A;#N/A;#VALUE!;;;;;;;;;;;;;;;;;;Corrupted file;;;;;;;
2019;Nov;27;13;53;;;SenPur13_20191127_13_45;1;Senecio;purpureus;13;65;0;;;;#VALUE!;#VALUE!;;;;#VALUE!;;;;#N/A;#N/A;#VALUE!;;;;;;;;;;;;;;;;;;Corrupted file;;;;;;;
2019;Nov;27;13;54;;;SenPur13_20191127_13_45;1;Senecio;purpureus;13;65;0;;;;#VALUE!;#VALUE!;;;;#VALUE!;;;;#N/A;#N/A;#VALUE!;;;;;;;;;;;;;;;;;;Corrupted file;;;;;;;
2019;Nov;27;13;55;;;SenPur13_20191127_13_45;1;Senecio;purpureus;13;65;0;;;;#VALUE!;#VALUE!;;;;#VALUE!;;;;#N/A;#N/A;#VALUE!;;;;;;;;;;;;;;;;;;Corrupted file;;;;;;;
2019;Nov;27;13;56;;;SenPur13_20191127_13_45;1;Senecio;purpureus;13;65;0;;;;#VALUE!;#VALUE!;;;;#VALUE!;;;;#N/A;#N/A;#VALUE!;;;;;;;;;;;;;;;;;;Corrupted file;;;;;;;
2019;Nov;27;13;57;;;SenPur13_20191127_13_45;1;Senecio;purpureus;13;65;0;;;;#VALUE!;#VALUE!;;;;#VALUE!;;;;#N/A;#N/A;#VALUE!;;;;;;;;;;;;;;;;;;Corrupted file;;;;;;;
2019;Nov;27;13;58;;;SenPur13_20191127_13_45;1;Senecio;purpureus;13;65;0;;;;#VALUE!;#VALUE!;;;;#VALUE!;;;;#N/A;#N/A;#VALUE!;;;;;;;;;;;;;;;;;;Corrupted file;;;;;;;
2019;Nov;27;13;59;;;SenPur13_20191127_13_45;1;Senecio;purpureus;13;65;0;;;;#VALUE!;#VALUE!;;;;#VALUE!;;;;#N/A;#N/A;#VALUE!;;;;;;;;;;;;;;;;;;Corrupted file;;;;;;;
2019;Nov;27;14;00;00 28;;;1;Senecio;purpureus;13;65;0;;1;14:00:28;#VALUE!;02;14;00;30;#VALUE!;Acalyptratae sp.;Striped fly with ant;;Diptera;NA;0;1;;;;;;;1;2;;;;;;;;;Corrupted file;;;;1;1;0;
2019;Nov;27;14;00;00 28;;Senpur13_20191127_14_00;1;Senecio;purpureus;13;65;0;;1;14:00:28;00:28;04;14;00;32;00:32;Acalyptratae sp.;Striped fly with ant;;Diptera;NA;0;1;;;;;;;1;4;;;;;;;;;;;;;1;1;0;
2019;Nov;27;14;00;00 28;;Senpur13_20191127_14_00;1;Senecio;purpureus;13;65;0;;1;14:00:28;00:28;53;14;01;21;01:21;Acalyptratae sp.;Striped fly with ant;;Diptera;NA;0;3;;;;;1;2;1;51;;;;;;;;;;;;;1;3;0;
2019;Nov;27;14;00;00 28;;Senpur13_20191127_14_00;1;Senecio;purpureus;13;65;0;;1;14:00:28;00:28;98;14;02;06;02:06;Acalyptratae sp.;Striped fly with ant;;Diptera;NA;0;3;;;;;1;2;1;96;;;;;;;;;;;;;1;3;0;
2019;Nov;27;14;00;00 51;;Senpur13_20191127_14_00;1;Senecio;purpureus;13;65;0;;1;14:00:51;00:51;16;14;01;07;01:07;Acalyptratae sp.;Striped fly with ant;;Diptera;NA;0;1;;;;;;;1;16;;;;;;;;;;;;;1;1;0;
2019;Nov;27;14;01;00 03;;Senpur13_20191127_14_00;1;Senecio;purpureus;13;65;0;;1;14:01:03;01:03;87;14;02;30;02:30;Acalyptratae sp.;Striped fly with ant;;Diptera;NA;0;2;;;;;;;1;87;;;;;;;;;;;;;1;2;0;
2019;Nov;27;14;01;00 09;;Senpur13_20191127_14_00;1;Senecio;purpureus;13;65;0;;1;14:01:09;01:09;74;14;02;23;02:23;Acalyptratae sp.;Striped fly with ant;;Diptera;NA;0;4;;;;;1;3;1;71;;;;;;;;;;;;;1;4;0;
2019;Nov;27;14;01;00 10;;Senpur13_20191127_14_00;1;Senecio;purpureus;13;65;0;;1;14:01:10;01:10;11;14;01;21;01:21;Acalyptratae sp.;Striped fly with ant;;Diptera;NA;0;2;;;;;;;1;11;;;;;;;;;;;;;1;2;0;
2019;Nov;27;14;01;00 27;;Senpur13_20191127_14_00;1;Senecio;purpureus;13;65;0;;1;14:01:27;01:27;137;14;03;44;03:44;Acalyptratae sp.;Striped fly with ant;;Diptera;NA;0;4;;;;;1;3;1;134;;;;;;;;;;;;;1;4;0;
2019;Nov;27;14;02;00 42;;Senpur13_20191127_14_00;1;Senecio;purpureus;13;65;0;;1;14:02:42;02:42;90;14;04;12;04:12;Acalyptratae sp.;Striped fly with ant;;Diptera;NA;0;2;;;;;1;1;1;89;;;;;;;;;;;;;1;2;0;
2019;Nov;27;14;03;;;Senpur13_20191127_14_00;1;Senecio;purpureus;13;65;0;;;;#VALUE!;#VALUE!;;;;#VALUE!;;;;#N/A;#N/A;#VALUE!;;;;;;;;;;;;;;;;;;;;;;;;;
2019;Nov;27;14;04;;;Senpur13_20191127_14_00;1;Senecio;purpureus;13;65;0;;;;#VALUE!;#VALUE!;;;;#VALUE!;;;;#N/A;#N/A;#VALUE!;;;;;;;;;;;;;;;;;;;;;;;;;
2019;Nov;27;14;05;;;Senpur13_20191127_14_00;1;Senecio;purpureus;13;65;0;;;;#VALUE!;#VALUE!;;;;#VALUE!;;;;#N/A;#N/A;#VALUE!;;;;;;;;;;;;;;;;;;;;;;;;;
2019;Nov;27;14;06;00 34;;Senpur13_20191127_14_00;1;Senecio;purpureus;13;65;0;;1;14:06:34;06:34;87;14;08;01;08:01;Acalyptratae sp.;Striped fly with ant;;Diptera;NA;0;1;;;;;;;1;87;;;;;;;;;;;;;1;1;0;
2019;Nov;27;14;07;00 55;;Senpur13_20191127_14_00;1;Senecio;purpureus;13;65;0;;1;14:07:55;07:55;210;14;11;25;11:25;Acalyptratae sp.;Striped fly with ant;;Diptera;NA;0;1;;;;;;;1;210;;;;;;;;;;;;;1;1;0;
2019;Nov;27;14;08;;;Senpur13_20191127_14_00;1;Senecio;purpureus;13;65;0;;;;#VALUE!;#VALUE!;;;;#VALUE!;;;;#N/A;#N/A;#VALUE!;;;;;;;;;;;;;;;;;;;;;;;;;
2019;Nov;27;14;09;00 47;;Senpur13_20191127_14_00;1;Senecio;purpureus;13;65;0;;1;14:09:47;09:47;40;14;10;27;10:27;Acalyptratae sp.;Striped fly with ant;;Diptera;NA;0;1;;;;;;;1;40;;;;;;;;;;;;;1;1;0;
2019;Nov;27;14;10;00 07;;Senpur13_20191127_14_00;1;Senecio;purpureus;13;65;0;;1;14:10:07;10:07;162;14;12;49;12:49;Acalyptratae sp.;Striped fly with ant;;Diptera;NA;0;5;;;1;1;1;4;1;157;;;;;;;;;;;;;1;5;0;
2019;Nov;27;14;10;00 55;;Senpur13_20191127_14_00;1;Senecio;purpureus;13;65;0;;1;14:10:55;10:55;64;14;11;59;11:59;Acalyptratae sp.;Striped fly with ant;;Diptera;NA;0;2;;;;;1;1;1;63;;;;;;;;;;;;;1;2;0;
