TIME;;;;;;;FILES;;PLANT ID;;;;;;VISITORS (1);;;;;;;;;;;;;;VISITOR BEHAVIOUR (1);;;;;;;;;;;;;;;;;;;CONTACT (1);;;
Year;Month;Day;Hour;Min;Sec;##;Video file name;Video record present;Plant Genus;Plant Species;Plant Number;Number of observed flowers (M | F);;Multiplier;Visitor arrival;Exact time of arrival;T.o.A. in video file;Total duration of visit (sec);Exact time of departure;;;T.o.D. in video file;Visitor species;;;Insect order ;Sex;;Number of visited flowers (M | F);;Flower number;Resting/walking;Duration (sec);Flying;Duration (sec);Feeding on pollen;Duration (sec);Feeding on nectar ;Duration (sec);Unsuccessful nectardrinking attempts;Duration (sec);Feeding on floral parts;Duration (sec);Comment (visitor behaviour);Primary Robbing;Secondary robbing;;Contact with anthers;# flowers with anthers contacted;Contact with stigma;# flowers with stigmas contacted
2020;Dec;04;16;18;;;Hyprev7_20201204_16_00;1;Hypericum;revolutum;7;1;0;;;;#VALUE!;#VALUE!;;;;#VALUE!;;;;#N/A;#N/A;#VALUE!;;;;;;;;;;;;;;;;;;;;;;;
2020;Dec;04;16;19;;;Hyprev7_20201204_16_00;1;Hypericum;revolutum;7;1;0;;;;#VALUE!;#VALUE!;;;;#VALUE!;;;;#N/A;#N/A;#VALUE!;;;;;;;;;;;;;;;;;;;;;;;
2020;Dec;04;16;20;;;Hyprev7_20201204_16_00;1;Hypericum;revolutum;7;1;0;;;;#VALUE!;#VALUE!;;;;#VALUE!;;;;#N/A;#N/A;#VALUE!;;;;;;;;;;;;;;;;;;;;;;;
2020;Dec;04;16;21;;;Hyprev7_20201204_16_00;1;Hypericum;revolutum;7;1;0;;;;#VALUE!;#VALUE!;;;;#VALUE!;;;;#N/A;#N/A;#VALUE!;;;;;;;;;;;;;;;;;;;;;;;
2020;Dec;04;16;22;;;Hyprev7_20201204_16_00;1;Hypericum;revolutum;7;1;0;;;;#VALUE!;#VALUE!;;;;#VALUE!;;;;#N/A;#N/A;#VALUE!;;;;;;;;;;;;;;;;;;;;;;;
2020;Dec;04;16;23;;;Hyprev7_20201204_16_00;1;Hypericum;revolutum;7;1;0;;;;#VALUE!;#VALUE!;;;;#VALUE!;;;;#N/A;#N/A;#VALUE!;;;;;;;;;;;;;;;;;;;;;;;
2020;Dec;04;16;24;;;Hyprev7_20201204_16_00;1;Hypericum;revolutum;7;1;0;;;;#VALUE!;#VALUE!;;;;#VALUE!;;;;#N/A;#N/A;#VALUE!;;;;;;;;;;;;;;;;;;;;;;;
2020;Dec;04;16;25;;;Hyprev7_20201204_16_00;1;Hypericum;revolutum;7;1;0;;;;#VALUE!;#VALUE!;;;;#VALUE!;;;;#N/A;#N/A;#VALUE!;;;;;;;;;;;;;;;;;;;;;;;
2020;Dec;04;16;26;;;Hyprev7_20201204_16_00;1;Hypericum;revolutum;7;1;0;;;;#VALUE!;#VALUE!;;;;#VALUE!;;;;#N/A;#N/A;#VALUE!;;;;;;;;;;;;;;;;;;;;;;;
2020;Dec;04;16;27;;;Hyprev7_20201204_16_00;1;Hypericum;revolutum;7;1;0;;;;#VALUE!;#VALUE!;;;;#VALUE!;;;;#N/A;#N/A;#VALUE!;;;;;;;;;;;;;;;;;;;;;;;
2020;Dec;04;16;28;;;Hyprev7_20201204_16_00;1;Hypericum;revolutum;7;1;0;;;;#VALUE!;#VALUE!;;;;#VALUE!;;;;#N/A;#N/A;#VALUE!;;;;;;;;;;;;;;;;;;;;;;;
2020;Dec;04;16;29;;;Hyprev7_20201204_16_00;1;Hypericum;revolutum;7;1;0;;;;#VALUE!;#VALUE!;;;;#VALUE!;;;;#N/A;#N/A;#VALUE!;;;;;;;;;;;;;;;;;;;;;;;
2020;Dec;04;16;30;;;Hyprev7_20201204_16_00;1;Hypericum;revolutum;7;1;0;;;;#VALUE!;#VALUE!;;;;#VALUE!;;;;#N/A;#N/A;#VALUE!;;;;;;;;;;;;;;;;;;;;;;;
2020;Dec;04;16;31;;;Hyprev7_20201204_16_00;1;Hypericum;revolutum;7;1;0;;;;#VALUE!;#VALUE!;;;;#VALUE!;;;;#N/A;#N/A;#VALUE!;;;;;;;;;;;;;;;;;;;;;;;
2020;Dec;04;16;32;;;Hyprev7_20201204_16_00;1;Hypericum;revolutum;7;1;0;;;;#VALUE!;#VALUE!;;;;#VALUE!;;;;#N/A;#N/A;#VALUE!;;;;;;;;;;;;;;;;;;;;;;;
2020;Dec;04;16;33;;;Hyprev7_20201204_16_00;1;Hypericum;revolutum;7;1;0;;;;#VALUE!;#VALUE!;;;;#VALUE!;;;;#N/A;#N/A;#VALUE!;;;;;;;;;;;;;;;;;;;;;;;
